Designator,Mid X,Mid Y,Layer,Rotation
,61.5,-26.5,top,0
,61.5,-3.5,top,0
,3.5,-26.5,top,0
,61.5,-52.5,top,0
,3.5,-3.5,top,0
,3.5,-52.5,top,0
C3,83,-39,top,90
C4,67,-34.2,top,90
C5,78,-42.9,top,90
C6,78,-40.2,top,90
C7,78,-38.2,top,-90
C8,78.1,-34.5,top,90
C9,77.5,-20.5,top,180
C10,69.5,-28.5,top,0
C15,56.5,-49.48,top,90
D4,54,-39.5,top,-90
J1,70.16,-53.77,top,90
J3,11.2,-53.5,top,0
J5,67.96,-15.965,top,90
L2,78.221383,-23.807111,top,90
LSI-U1,46.7,-51,top,180
R1,75.6,-21.8,top,180
R2,75.6,-22.8,top,180
R3,69.5,-29.5,top,180
R4,66.7,-28.7,top,0
R5,67,-31.19,top,-90
R6,9.49,-46.5,top,180
R8,78,-44.9,top,-90
R9,13.6,-46.5,top,0
R10,67.4,-45,top,-90
R15,80.800732,-22.491962,top,0
R16,82.849536,-22.499999,top,0
R22,56.5,-47,top,-90
R23,56.5,-43.51,top,90
R24,57.5,-43.5,top,90
U1,72.7,-39.2,top,0
U2,81,-39,top,90
U3,54.025,-47.8625,top,-90
svg2mod,34.5,-34.643333,top,0
